respid,sample,attempt,fcall,refusal,int_date,ilang,cregion,state,density,sstate,susr,usr,scregion,sdensity,llitext,qintro2,form,qs3,qs4,qs5,qs6,qs1,q1,q2,campnii,thought,q5,q9,q9a,Q9HORSE3,q10,q10a,q10b,q10c,q10d,q10horse,q11,q12,oftvote,q20,q23,q24f1,q25f2,q30a,q30b,q33a,q33b,q34a,q34b,q34c,q35,q40a,q40b,q40c,q40d,q40e,q40f,q40if1,q40jf1,q40kf1,q40lf1,q40nf2,q40of2,q40pf2,q40qf2,q41,q42,q45a,q45b,q45c,q45d,q48a,q48b,q48c,q49a,q49b,q50a,q50b,q50c,q50d,q50ef1,q50ff1,q50gf1,q50hf1,q50if2,q50jf2,q50kf2,q50lf2,q55,q56,q57,q58,q59,q60,q71,q72,q78,q79,q80,q81,sex,age,gen5,educ,hisp,racem1,racem2,racem3,racem4,adults,racecmb,racethn,birth_hisp,qtaa5,lan1,lan2,lan3,lan4,marital,relig,chr,qe3sos,born,attend,q82,q83,q84,q85,income,reg,party,partyln,partysum,partyideo,ideo,q86,q87,hh1,hh3,ql1,ql1a,qc1,money2,isex,ihisp1,irace1m1,irace1m2,irace1m3,irace1m4,ll,cp,hispoversample,Primary_Language,cellweight,weight
100002,1,1,160615,0,160615,1,2,17,1,17,R,R,2,1,2,2,1, , , , , ,1,2,2,1,1,1, ,1,1, ,2, ,2,1,2, ,2,3,1,2, ,1,1,2,4,1,1,2,3,1,1,1,1,1,1,1,1,2,1, , , , ,2,1,4,2,4,4,2,2,2,1,3,2,2,2,2,2,2,2,2, , , , ,3,3,4,3,2,3,2,2,1,1,1,2,1,59,3,5,2,1, , , ,1,1,1, ,2, , , , ,6,12, ,, ,4,1, , ,3,5,1,1, ,1,2,3, ,1,1, ,1, , , ,2,2,1, , , ,1,1, , , ,0.5275783
100003,1,1,160615,0,160615,1,1,42,2,42,S,S,1,2,1,1,1, , , , , ,9,9,4,4,2,9,9, ,9,3, , , , , , , ,4,2,1, , , , , ,2,1,2,3,3,1,3,3,3,3,1,3,4,3, , , , , , ,4,4,4,4, , , , , ,3,3,3,3,3,3,3,3, , , , ,3,3,4,4,2,3, , ,4,1,2,2,2,73,2,3,2,1, , , ,1,1,1, ,2, , , , ,5,2, ,,2,6,2, ,3, ,2,3,4,2,2,9,5, , ,1, ,2, , , ,1,2,1, , , ,1,0, , , ,1.4812921
100004,1,1,160615,0,160615,1,2,27,3,27,S,S,2,3,2,2,2, , , , , ,1,1,2,1,3,1, ,1,1, ,1, ,1,1,2, ,1,2,1, ,1,1,1,1,4,2,2,2,2,1,1,2,2,1,3, , , , ,2,3,3,1,1,1,4,2,3,2,2,2,2,3,2,2,2,2,2, , , , ,2,2,2,2,3,3,2,5,9,2,2,1,4,1,2,3,1,56,3,5,2,1, , , ,1,1,1, ,2, , , , ,6,2, ,,2,3,2, ,3, ,6,1,2, ,2,5,4,1, ,1, ,1, , , ,2,2,1, , , ,1,1, , , ,0.5200184
100005,1,1,160615,0,160615,1,2,17,5,17,S,S,2,5,1,1,2, , , , , ,2,2,1,1,3,2, ,2,2, ,1,1, ,2, ,2,1,1,1, ,2,1,1,4,1,1,1,1,3,2,1,2,1,1,1, , , , ,1,3,2,3,1,9,2,4,2,4,1,1,1,2,1,1,1,1,1, , , , ,1,1,1,1,4,9,4,9,2,3,1,9,2,2,1,1,2,99,9,6,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,2,1,2, , , ,3,1,1, ,1,1,2, ,1,2,2,1, , , ,1,9,9, , , ,1,1, , , ,0.5655373
100006,1,1,160615,0,160615,1,1,44,4,44,S,S,1,4,1,1,1, , , , , ,2,2,2,1,1,2, ,2,2, ,1,2, ,2, ,2,1,3,1,2, ,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1, , , , ,1,1,1,4,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1, , , , ,3,2,2,2,1,2,1,2,2,1,2,2,2,42,4,5,2,1, , , ,3,1,1, ,2, , , , ,1,2, ,,2,4,2, ,1, ,9,1,1, ,1,2,3, ,1,4,3,1, , , ,2,2,1, , , ,1,1, , , ,2.3655782
100007,1,1,160615,0,160615,1,2,29,5,29,U,U,2,5,2,2,2, , , , , ,9,2,2,4,9,9,9, ,1, , , , , , , , ,4,2, ,2, , , , ,3,2,2,1,1,1,1,1,1,1, , , , ,1,1,1,1, , ,9,9,8,2, , , , , ,3,3,3,2, , , , ,3,3,3,2,3,3,1,5,1,2, , ,4,1,2,4,1,56,3,3,2,1, , , ,1,1,1, ,2, , , , ,6,12, ,, ,6,2, , ,3,5,3,4,9,9,9,3, , ,1, ,2, , , ,1,2,1, , , ,1,0, , , ,2.3655782
100008,1,1,160615,0,160615,1,2,17,5,17,S,S,2,5,2,2,1, , , , , ,1,2,1,1,1,1, ,1,1, ,2, ,2,1,2, ,1,3,1,2, ,2,2,2,4,1,1,2,1,2,1,2,1,2,2,2,1,3,1, , , , ,2,1,4,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , ,2,1,1,2,2,2,2,2,2,1,2,4,2,19,5,3,2,1, , , ,3,1,1, ,2, , , , ,6,2, ,,2,5,2, ,3, ,9,1,2, ,2,5,5,1, ,3,3,1, , , ,1,2,1, , , ,1,1, , , ,2.3655782
100010,1,1,160615,0,160615,1,3,37,1,37,R,R,3,1,1,1,1, , , , , ,1,1,1,1,1,1, ,1,1, ,1, ,1,1,2, ,1,1,1,2, ,1,1,1,4,1,2,2,3,1,1,1,2,1,2,1,1,2,4, , , , ,2,1,4,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , ,2,3,2,2,2,3,2,1,1,2,1,1,1,62,3,6,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,1,1,2,3, , ,6,1,2, ,2,5,5,1, ,2,2,1, , , ,2,2,1, , , ,1,1, , , ,0.4914182
100011,1,1,160615,0,160615,1,3,51,5,51,U,U,3,5,1,1,2, , , , , ,1,1,1,1,1,1, ,1,1, ,1, ,1,1,2, ,2,3,1, ,2,1,9,1,3,1,1,2,2,1,2,1,2,2,1, , , , ,2,1,2,1,2,1,3,1,1,1,2,2,2,1,2,2,2,2,2, , , , ,2,2,2,2,2,1,1,2,1,1,9,1,2,2,2,3,1,72,2,5,2,1, , , ,2,1,1, ,2, , , , ,1,14, ,, ,3,1, , , ,9,1,2, ,2,5,4,1, ,2,2,1, , , ,1,2,1, , , ,1,1, , , ,0.6525135
100012,1,1,160615,0,160615,1,1,25,4,25,S,S,1,4,2,2,1, , , , , ,1,9,1,1,3,1, ,1,1, ,1, ,1,1,2, ,1,2,1,2, ,1,2,1,4,1,1,9,2,2,1,1,2,1,1,2,1,1,2, , , , ,2,1,3,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2, , , , ,3,3,2,5,1,1,2,1,3,1,2,3,2,53,3,8,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,1,2,2,3, , ,9,1,2, ,2,5,5,1, ,4,2,1, , , ,2,2,1, , , ,1,1, , , ,1.1629127
100013,1,1,160615,0,160615,1,3,37,2,37,R,R,3,2,2,2,1, , , , , ,1,2,1,1,1,9,1,1,9,1, , ,2,1,9, ,1,3,1,2, ,1,1,3,4,1,1,2,2,1,1,1,1,2,1,1,1,2,1, , , , ,2,1,3,2,1,2,2,2,2,3,2,1,2,2,2,2,1,2,2, , , , ,4,3,3,2,2,3,2,2,1,1,2,1,2,64,3,6,1,2,7, , ,1,4,3,1,1,1,1,1,1,5,12, ,, ,1,2, , ,3,6,1,2, ,2,4,3,1, ,1, ,1, , , ,2,2,1,2, , ,1,1, ,2, ,0.3343871
100014,1,1,160615,0,160615,1,3,54,1,54,R,R,3,1,1,1,1, , , , , ,2,2,3,1,3,2, ,2,2, ,1,2, ,2, ,2,1,4,1,2, ,1,2,4,3,2,2,2,1,1,1,2,1,1,1,1,2,2,4, , , , ,1,2,3,4,4,4,3,1,1,2,1,1,1,1,1,1,1,1,1, , , , ,4,2,2,3,2,3,2,3,3,2,1,1,1,57,3,3,2,1, , , ,2,1,1, ,2, , , , ,3,13, ,,1,3,1,1, , ,7,1,3,1,1,3,1, ,1,2,2,2,2, , ,1,2,1, , , ,1,0, , , ,2.3655782
100015,1,1,160615,0,160615,1,3,45,1,45,R,R,3,1,2,2,1, , , , , ,9,2,4,4,9,1, ,1,1, ,2, ,2,1,2, ,1,9,2,2, ,3,9,2,4,3,9,2,3,1,1,9,1,1,9,1,1,1,9, , , , ,9,9,9,2,9,9,9,2,2,1,2,2,3,2,2,2,2,2,2, , , , ,4,1,4,4,9,3,2,1,9,1,1,1,2,65,3,3,2,2, , , ,1,2,2, ,2, , , , ,6,1, ,,1,2,2,1, , ,2,1,2, ,2,4,3,9, ,1, ,2, , , ,2,2,2, , , ,1,0, , , ,2.1104625
100016,1,1,160615,0,160615,1,2,39,2,39,R,R,2,2,2,2,2, , , , , ,2,2,2,1,3,2, ,2,2, ,1,1, ,2, ,1,1,3,1, ,1,2,2,4,3,1,1,2,3,1,1,2,1,1,3, , , , ,1,1,1,2,1,1,4,4,4,3,3,3,1,2,1,1,1,1,1, , , , ,1,1,1,9,4,3,3,3,2,3,1,2,3,1,2,2,2,58,3,3,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,9,5,2, , , ,4,1,2, ,2,4,3,2, ,2,2,1, , , ,1,2,1, , , ,1,1, , , ,1.5757455
100017,1,1,160615,0,160615,1,1,25,3,25,S,S,1,3,1,1,1, , , , , ,2,2,1,1,1,2, ,2,2, ,2,2, ,2, ,1,1,4,2,2, ,1,1,3,2,1,2,1,1,2,4,1,2,1,2,4,1,4,4, , , , ,1,1,2,2,4,2,1,3,2,3,1,2,2,1,3,2,1,1,2, , , , ,2,1,2,2,2,2,2,2,1,2,1,2,1,40,4,6,2,1, , , ,2,1,1, ,2, , , , ,1,2, ,,2,3,2, ,1, ,8,1,3,2,2,3,3,2, ,4,2,1, , , ,2,2,1, , , ,1,1, , , ,0.9204253
100018,1,1,160615,0,160615,1,2,39,2,39,S,S,2,5,2,2,1, , , , , ,1,9,2,1,1,1, ,1,1, ,2, ,1,1,2, ,1,3,1,2, ,1,1,2,4,1,1,2,3,1,2,1,1,1,2,2,1,2,2, , , , ,2,1,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2, , , , ,3,3,3,2,2,2,2,2,3,1,2,3,1,46,4,6,2,1, , , ,2,1,1, ,2, , , , ,1,2, ,,2,4,2, ,3, ,8,1,2, ,2,5,5,1, ,2,2,1, , , ,2,2,1, , , ,1,1, , , ,0.5664419
100019,1,1,160615,0,160615,1,3,45,1,45,R,R,3,1,1,1,1, , , , , ,2,2,1,1,1,2, ,2,2, ,1,1, ,2, ,2,1,1,1,2, ,1,1,3,2,1,1,1,9,1,2,1,1,1,1,1,3,2,2, , , , ,1,1,2,3,3,3,1,1,1,3,1,1,1,3,1,1,1,1,1, , , , ,3,3,2,5,2,3,1,2,2,2,1,2,1,71,2,8,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,1,1,2,3, , ,6,1,1, ,1,1,2, ,2,2,2,1, , , ,1,2,2, , , ,1,1, , , ,0.4393793
100020,1,1,160615,0,160615,1,1,36,4,36,S,S,1,4,1,1,1, , , , , ,1,2,1,1,1,1, ,1,1, ,1, ,1,1,2, ,1,2,1,2, ,2,4,2,4,1,1,9,1,1,1,1,1,1,1,1,1,1,1, , , , ,2,1,4,2,4,8,3,2,2,1,2,2,2,2,2,2,3,2,2, , , , ,2,3,1,2,9,1,2,1,2,1,2,4,2,82,2,5,2,1, , , ,2,1,1, ,2, , , , ,1,12, ,, ,6,2, , ,9,8,1,3,2,2,3,4,1, ,2,2,1, , , ,2,2,2, , , ,1,1, , , ,0.9794255
100021,1,1,160615,0,160615,1,1,36,5,36,U,U,1,5,2,2,1, , , , , ,1,1,1,1,1,4,1,1,1, ,2, ,2,1,2, ,2,2,1,2, ,1,1,2,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1, , , , ,2,1,3,1,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , ,2,1,4,1,1,2,2,2,2,2,1,1,2,46,4,6,2,1, , , ,3,1,1, ,2, , , , ,3,2, ,,2,4,2, ,1, ,3,1,2, ,2,5,4,2, ,5,4,2,1, , ,2,2,1, , , ,1,0, , , ,2.3655782
100023,1,1,160615,0,160615,1,1,36,3,36,S,S,1,3,1,1,1, , , , , ,1,1,2,1,1,1, ,1,1, ,2, ,1,1,2, ,2,2,1,2, ,2,2,2,4,1,2,2,2,1,1,2,2,1,1,2,1,3,1, , , , ,1,1,4,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , ,2,3,2,2,1,3,2,2,2,2,1,2,2,37,4,8,2,1, , , ,2,1,1, ,2, , , , ,1,14,1,,2,2,1, , , ,6,1,2, ,2,5,4,1, ,4,2,1, , , ,1,2,1, , , ,1,1, , , ,1.8381031
100024,1,1,160615,0,160615,1,1,23,2,23,S,S,1,2,2,2,1, , , , , ,1,1,1,1,3,1, ,1,1, ,1, ,1,1,2, ,1,3,1,2, ,1,1,2,4,1,1,3,1,2,1,1,1,2,1,1,1,1,1, , , , ,2,1,3,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , ,2,3,2,2,2,2,3,1,2,2,2,2,2,63,3,6,2,1, , , ,1,1,1, ,2, , , , ,5,11,2,, ,6,2, , , ,6,1,2, ,2,5,4,1, ,1, ,1, , , ,1,2,1, , , ,1,1, , , ,0.389667
100026,1,3,160615,0,160621,1,1,34,4,34,S,S,1,4,2,2,1, , , , , ,2,2,1,1,1,2, ,2,2, ,1,1, ,2, ,2,1,2,1,2, ,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2, , , , ,2,1,2,2,3,1,1,1,2,3,1,1,1,1,1,1,1,1,2, , , , ,3,9,2,5,2,3,1,3,2,1,2,2,1,78,2,3,2,1, , , ,1,1,1, ,2, , , , ,1,2, ,,2,2,2, ,1, ,6,1,1, ,1,1,2, ,2,1, ,1, , , ,1,2,1, , , ,1,1, , , ,0.8929421
100027,1,1,160615,0,160615,1,1,42,2,42,S,S,1,2,2,2,1, , , , , ,2,2,2,3,1,2, ,2,2, ,1,1, ,2, ,2,2,2,1,2, ,4,2,4,1,1,2,2,3,1,1,1,1,1,1,1,3,3,3, , , , ,1,1,2,4,3,4,1,1,1,3,1,1,1,1,1,1,1,1,1, , , , ,4,3,3,3,2,3,1,3,1,1,2,2,2,67,3,5,2,1, , , ,3,1,1, ,2, , , , ,1,1, ,,1,2,1,1, , ,6,1,1, ,1,1,2, ,1,3,3,1, , , ,2,2,1, , , ,1,1, , , ,0.9197796
100028,1,4,160615,0,160621,1,1,36,2,36,R,R,1,2,1,1,1, , , , , ,2,2,1,1,1,2, ,2,2, ,1,9, ,2, ,2,2,1,9,2, ,4,1,4,2,1,1,3,3,1,1,1,1,1,1,3,3,4,1, , , , ,1,9,4,3,4,3,1,3,1,3,1,1,1,1,1,1,1,1,3, , , , ,4,3,2,2,2,3,1,2,4,2,1,3,1,57,3,3,2,1, , , ,1,1,1, ,2, , , , ,4,12, ,, ,5,2, , ,2,5,1,3,9,9,3,2, , ,1, ,1, , , ,2,1,4, , , ,1,1, , , ,0.7856989
100029,1,1,160615,0,160615,1,3,12,2,12,S,S,3,2,1,1,1, , , , , ,2,2,1,1,3,2, ,2,2, ,1,1, ,2, ,2,1,2,1,2, ,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2, , , , ,1,1,4,4,4,3,1,1,2,3,1,1,1,1,1,1,1,1,1, , , , ,3,3,3,3,2,3,2,1,1,2,9,2,1,75,2,6,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,1,2,2,3, , ,6,1,3,1,1,3,2, ,2,2,2,1, , , ,1,2,1, , , ,1,1, , , ,0.3866557
100030,1,1,160615,0,160615,1,1,36,5,36,U,U,1,5,2,2,1, , , , , ,2,2,1,4,1,2, ,2,2, ,2,2, ,2, ,2,1,2,1,9, ,1,1,4,2,1,2,2,3,1,1,1,1,1,1,1,1,1,2, , , , ,2,9,2,2,2,2,1,1,3,3,1,1,1,1,1,1,1,3,1, , , , ,3,1,2,2,2,3,1,2,3,1,2,3,2,63,3,6,2,1, , , ,1,1,1, ,2, , , , ,6,5, ,, ,4,2, , , ,4,1,1, ,1,2,3, ,2,1, ,1, , , ,1,2,2, , , ,1,1, , , ,0.5481986
100031,1,1,160615,0,160615,1,1,23,2,23,S,S,1,2,2,2,2, , , , , ,1,2,3,1,1,4,1, ,1, , , , , , , , ,4,2, ,1, , , , ,1,1,2,1,1,2,2,2,1,1, , , , ,2,1,1,1, , ,3,1,2,2, , , , , ,1,1,2,2, , , , ,2,2,2,2,3,3,2,2,1,2, , ,3,2,2,3,2,19,5,4,2,1, , , ,3,1,1, ,2, , , , ,6,12, ,, ,6,2, , ,2,7,3,3,2,2,3,4, , ,4,4,1, , , ,1,9,9, , , ,1,1, , , ,2.3655782
100032,1,1,160615,0,160615,1,1,34,4,34,S,S,1,4,1,1,1, , , , , ,2,2,1,1,1,2, ,2,2, ,2,2, ,2, ,2,1,2,1,2, ,1,2,3,1,1,2,2,2,1,1,2,3,2,2,1,1,1,3, , , , ,1,1,2,3,3,3,1,1,1,2,1,1,1,1,1,1,3,1,1, , , , ,3,3,3,3,2,3,3,3,2,1,2,2,1,58,3,6,2,1, , , ,2,1,1, ,2, , , , ,1,1,1,,2,4,2, , , ,10,1,1, ,1,1,2, ,2,3,2,1, , , ,1,2,1, , , ,1,1, , , ,0.597406
100033,1,1,160615,0,160615,1,3,37,2,37,S,S,3,2,1,1,1, , , , , ,1,2,1,1,3,1, ,1,1, ,2, ,2,1,2, ,1,4,1,2, ,2,3,3,4,1,1,2,1,1,1,1,2,2,1,1,1,3,3, , , , ,2,1,4,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2,2, , , , ,3,2,2,5,2,2,2,2,3,1,2,3,1,74,2,6,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,2,5,2, , , ,7,1,2, ,2,4,3,1, ,2,2,1, , , ,2,2,2, , , ,1,1, , , ,0.3866557
100035,1,1,160615,0,160615,1,2,18,3,18,S,S,2,3,1,1,2, , , , , ,2,2,1,1,1,2, ,2,2, ,1,2, ,2, ,2,2,4,1, ,1,4,2,4,2,1,1,1,3,1,1,2,2,1,1, , , , ,2,9,1,1,1,2,2,9,2,2,1,1,1,2,1,1,1,1,1, , , , ,1,1,1,1,3,9,2,5,1,2,1,2,2,2,1,1,2,58,3,4,2,1, , , ,2,1,1, ,2, , , , ,1,2, ,,1,1,2, ,3, ,9,1,1, ,1,1,2, ,1,2,2,1, , , ,2,2,2, , , ,1,1, , , ,1.0981035
100036,1,2,160615,0,160616,1,1,36,1,36,R,R,1,1,1,1,1, , , , , ,1,1,3,1,2,3, ,3,1, ,2, ,1,1,2, ,1,3,1,2, ,1,2,2,2,1,2,1,3,1,1,2,2,1,2,1,2,2,2, , , , ,2,1,2,2,2,2,9,2,2,3,2,1,2,3,2,2,3,2,2, , , , ,2,3,2,5,2,3,2,1,2,2,1,2,2,56,3,6,2,1, , , ,3,1,1, ,2, , , , ,1,2, ,,2,1,2, ,3, ,8,1,2, ,2,4,3,1, ,4,4,1, , , ,1,1,1, , , ,1,1, , , ,0.7858639
100037,1,1,160615,0,160615,1,1,23,2,23,S,S,1,2,2,2,1, , , , , ,1,1,1,1,1,1, ,1,1, ,1, ,1,1,2, ,2,1,1,2, ,1,1,1,4,1,1,2,3,2,1,1,2,2,2,1,1,1,2, , , , ,2,1,4,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2, , , , ,2,3,1,5,9,2,2,1,2,9,9,3,2,67,3,6,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,2,6,2, , , ,9,1,3,2,2,3,4,1, ,2,2,1, , , ,2,2,1,2, , ,1,1, , , ,0.5310862
100039,1,1,160615,0,160615,1,3,51,5,37,S,S,3,1,1,1,1, , , , , ,2,2,2,1,1,3, ,3,2, ,2,2, ,2, ,1,1,4,1,2, ,1,1,2,2,1,2,2,3,1,1,2,3,2,1,4,3,2,2, , , , ,1,1,3,2,3,2,1,1,2,3,3,1,1,1,2,2,1,3,2, , , , ,4,3,3,2,2,3,2,2,2,1,2,3,2,28,5,8,2,1, , , ,1,1,1, ,2, , , , ,3,13, ,,2,4,2, , , ,6,1,2, ,2,4,3,2, ,1, ,1, , , ,1,2,1, , , ,1,1, , , ,0.7612877
100040,1,4,160615,0,160618,1,3,37,3,37,U,U,3,3,2,2,1, , , , , ,2,2,1,1,3,9,9,9,9,9, , , ,9,2,9,1,4,1,1, ,1,4,2,4,1,1,2,3,2,1,1,2,1,1,1,1,3,1, , , , ,2,9,4,4,4,2,3,3,2,3,2,3,2,2,2,2,3,2,2, , , , ,3,3,9,9,1,2,2,9,3,1,2,3,1,99,9,8,2,1, , , ,2,1,1, ,2, , , , ,1,12, ,, ,9,2, , ,3,10,1,1, ,1,2,3, ,2,2,2,1, , , ,2,2,1, , , ,1,1, , , ,0.4892079
100041,1,1,160615,0,160615,1,3,47,2,37,S,S,3,2,1,1,1, , , , , ,2,2,2,1,1,3, ,3,2, ,9,2, ,2, ,2,2,4,2,9, ,4,3,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1, , , , ,1,1,2,4,4,2,1,1,3,2,1,3,1,1,3,1,3,9,3, , , , ,9,1,2,2,1,3,2,2,1,2,2,1,1,61,3,4,2,1, , , ,3,1,1, ,2, , , , ,1,13, ,,1,1,2,3, , ,5,1,3,1,1,3,3, ,2,3,3,2,1, , ,2,2,1, , , ,1,0, , , ,2.0825414
100042,1,1,160615,0,160615,1,3,51,2,51,S,S,3,1,2,2,1, , , , , ,9,2,1,1,3,9,1,1,1, ,2, ,2,1,2, ,1,4,1,2, ,1,1,2,4,3,1,2,3,1,1,1,1,1,1,3,2,1,1, , , , ,2,1,4,2,4,2,1,2,2,3,2,1,2,1,2,2,1,2,2, , , , ,3,3,2,2,2,2,2,1,1,1,2,3,2,35,5,8,2,1, , , ,2,1,1, ,2, , , , ,2,1, ,,1,2,2,3, , ,6,1,2, ,2,4,3,2, ,4,2,1, , , ,2,2,2, , , ,1,1, , , ,1.3367377
100044,1,1,160615,0,160615,1,3,12,4,12,U,U,3,4,1,1,1, , , , , ,2,2,1,1,1,3, ,3,9,9, , , ,9,1,2,2,4,1,2, ,3,2,4,3,1,1,2,2,1,3,1,2,1,1,1,3,2,2, , , , ,1,2,3,3,3,2,3,1,2,3,3,1,1,2,1,3,1,2,2, , , , ,2,3,1,2,2,2,2,1,2,1,2,2,1,73,2,4,2,1, , , ,2,1,1, ,2, , , , ,1,1, ,,1,4,2,1, , ,5,1,3,1,1,3,2, ,2,2,2,1, , , ,1,2,2, , , ,1,1, , , ,0.7681919
100046,1,1,160615,0,160615,1,3,13,5,13,S,S,3,5,2,2,2, , , , , ,2,2,2,1,1,1, ,1,1, ,2, ,2,1,1, ,2,2,1, ,1,2,3,2,3,1,1,2,3,1,1,1,2,2,2, , , , ,2,1,2,2,2,2,3,3,3,2,3,2,2,3,9,1,2,1,2, , , , ,2,1,1,2,3,3,2,3,2,3,2,1,1,1,2,1,2,87,2,4,2,1, , , ,1,1,1, ,2, , , , ,5,1, ,,1,1,2,1, , ,6,1,3,1,1,3,2, ,2,1, ,1, , , ,1,2,1, , , ,1,1, , , ,0.6856192
100047,1,1,160615,0,160615,1,3,21,4,21,U,U,3,4,2,2,2, , , , , ,1,1,1,1,2,1, ,1,1, ,2, ,2,1,2, ,1,3,1, ,2,1,1,2,4,1,1,2,3,2,2,1,2,2,1, , , , ,2,1,1,1,2,1,4,2,4,1,3,2,2,3,2,2,2,2,2, , , , ,2,2,2,2,2,2,1,3,1,2,3,1,3,1,2,2,2,56,3,6,2,1, , , ,1,1,1, ,2, , , , ,3,2, ,,2,3,2, ,3, ,7,1,2, ,2,5,4,1, ,1, ,1, , , ,1,2,1, , , ,1,1, , , ,0.4586289
100048,1,1,160615,0,160615,1,3,13,5,13,S,S,3,5,1,1,1, , , , , ,1,1,2,1,2,1, , ,1, , , , , , , , ,3,1,2, , , , , ,1,1,2,1,1,2,1,2,2,2,1,1,2,1, , , , , , ,3,2,2,2, , , , , ,2,2,2,2,2,2,2,2, , , , ,2,3,1,2,1,2, , ,3,2,2,3,2,64,3,6,2,1, , , ,2,1,1, ,2, , , , ,1,13, ,,2,5,2, , , ,7,2,2, ,2,5,4, , ,2,2,1, , , ,2,2,1, , , ,1,1, , , ,0.7499472
100050,1,2,160615,0,160615,1,2,39,5,39,S,S,2,5,1,1,1, , , , , ,1,2,2,1,1,1, ,1,1, ,2, ,2,1,2, ,1,3,1,2, ,2,2,1,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1, , , , ,2,1,2,1,1,1,2,2,2,3,2,2,2,3,1,2,2,2,2, , , , ,3,3,2,1,1,2,2,2,9,2,2,2,1,31,5,4,2,2, , , ,1,2,2, ,2, , , , ,6,12, ,, ,4,2, , ,3,7,1,3,2,2,3,3,9, ,2,1,1, , , ,2,2,2, , , ,1,1, , , ,1.1698357
100053,1,1,160615,0,160615,1,2,18,2,18,R,R,2,2,2,2,2, , , , , ,2,2,3,1,2,3, ,3,1, ,2, ,2,1,2, ,3,4,2, ,1,2,1,3,4,1,1,2,3,1,1,1,1,1,3, , , , ,1,1,1,1,2,1,2,8,4,2,3,2,2,3,2,3,3,2,2, , , , ,3,3,3,3,3,2,3,3,1,3,2,2,3,2,2,1,2,67,3,1,2,1,5, , ,2,4,4, ,2, , , , ,1,1, ,,1,1,1,1, , ,5,1,3,9,9,3,1, , ,2,2,1, , , ,1,9,9, , , ,1,1, , , ,1.248964
100055,1,7,160615,1,160624,1,3,37,2,37,S,S,3,2,2,2,2, , , , , ,9,2,3,3,3,9,9, ,3,9, , , , , , , ,4,9, ,1, , , , ,3,1,9,1,1,2,9,2,9,4, , , , ,1,1,2,2, , ,8,8,9,9, , , , , ,2,2,2,3, , , , ,2,2,2,9,3,3,4,5,2,3, , ,2,2,2,1,2,61,3,1,2,1, , , ,1,1,1, ,2, , , , ,3,1, ,,1,5,2,3, , ,3,3,3,9,9,3,9, , ,1, ,1, , , ,2,2,1, , , ,1,1, , , ,1.1693857
100056,1,1,160615,0,160615,1,1,42,2,42,S,S,1,2,1,1,2, , , , , ,9,9,4,3,2,9,9,9,9,9, , , ,9,9,9,2,2,2, ,1,4,4,4,4,9,9,9,3,1,2,9,1,1,4, , , , ,2,1,2,3,9,9,9,9,9,4,9,9,9,9,9,9,9,9,9, , , , ,9,9,9,9,3,9,2,3,2,3,9,9,2,2,2,2,1,52,3,4,2,1, , , ,3,1,1, ,2, , , , ,1,1, ,,2,3,2, , , ,6,1,2, ,2,4,2,9, ,4,4,1, , , ,1,2,1, , , ,1,1, , , ,1.0421067
100057,1,1,160615,0,160615,1,2,18,1,18,R,R,2,1,1,1,1, , , , , ,1,2,3,1,2,9,9,9,1, ,2, ,2,1,2, ,2,4,2,2, ,3,3,2,4,2,1,2,1,1,2,9,9,1,1,1,1,1,2, , , , ,1,1,1,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2, , , , ,4,3,4,3,2,3,2,2,1,9,9,2,2,73,2,2,2,1, , , ,1,1,1, ,2, , , , ,5,1, ,,1,4,2,3, , ,1,1,4,9,9,9,3, , ,1, ,1, , , ,2,2,1,2, , ,1,1, , , ,0.8852514
